carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Kombi,silver met.,,,,Zuzwil,,Audi,,26300.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Kombi,blue met.,,,,Zuzwil,,Bmw,,108500.0,kilometer,530,530d Touring,false,car,,,l_km_consumption
Kombi,black,,,,Zuzwil,,Audi,,91900.0,kilometer,S6,S6 Avant quattro 4.2,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Renault,,68000.0,kilometer,Alpine a110,1600 S,false,car,,,
Kombi,black,,,,Zuzwil,,Audi,,29500.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Bmw,,42000.0,kilometer,750,750iL,false,car,,,l_km_consumption
Cabriolet,silver met.,,,,Zuzwil,,Mercedes-benz,,64000.0,kilometer,Sl 500,SL 500,false,car,,,l_km_consumption
Kombi,gray met.,,,,Zuzwil,,Bmw,,85800.0,kilometer,540,540i Touring,false,car,,,l_km_consumption
Limousine,gray met.,,,,Zuzwil,,Bmw,,238500.0,kilometer,323,323i,false,car,,,
Coupé,orange,,,,Zuzwil,,Alfa romeo,,584.0,kilometer,Gtv,6 2.5,false,car,,,
Limousine,red met,,,,Zuzwil,,Audi,,33800.0,kilometer,A8,A8 4.2 quattro,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Ferrari,,28000.0,kilometer,F360,F360 Modena Berlinetta,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,35600.0,kilometer,E 50 amg,E 50 AMG Avantgarde,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,53800.0,kilometer,E 55 amg,E 55 AMG Avantgarde,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Ferrari,,20700.0,kilometer,F360,F360 Modena Berlinetta,false,car,,,l_km_consumption
Cabriolet,gray met.,,,,Zuzwil,,Mercedes-benz,,45500.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Cabriolet,blue,,,,Zuzwil,,Mercedes-benz,,32000.0,kilometer,Sl 55 amg,SL 55 AMG,false,car,,,l_km_consumption
Kombi,blue,,,,Zuzwil,,Audi,,75200.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Bmw,,86100.0,kilometer,535,535i,false,car,,,l_km_consumption
Limousine,black met.,,,,Zuzwil,,Mercedes-benz,,77000.0,kilometer,Cls 55 amg,CLS 55 AMG,false,car,,,l_km_consumption
Kombi,silver met.,,,,Zuzwil,,Audi,,36900.0,kilometer,Rs6,RS6 Avant quattro,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Renault,,39267.0,kilometer,Alpine a110,A5 Motor,false,car,,,
Cabriolet,black,,,,Zuzwil,,Bmw,,25700.0,kilometer,135,135i,false,car,,,l_km_consumption
Cabriolet,black,,,,Zuzwil,,Bmw,,77500.0,kilometer,335,335i,false,car,,,l_km_consumption
Limousine,blue,,,,Zuzwil,,Bentley,,44600.0,kilometer,Arnage,Arnage Green Label,false,car,,,l_km_consumption
Kombi,silver met.,,,,Zuzwil,,Audi,,29300.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Limousine,white,,,,Zuzwil,,Triumph,,10800.0,kilometer,Dolomite,Sprint,false,car,,,
Cabriolet,gray met.,,,,Zuzwil,,Porsche,,29500.0,kilometer,911,911 Carrera S Cabrio,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Ferrari,,32800.0,kilometer,F355,F355 Berlinetta,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Audi,,26500.0,kilometer,R8,R8 Coupé 5.2,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,78700.0,kilometer,Cls 500,CLS 500,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Maserati,,61400.0,kilometer,Coupé gt,Coupé GT,false,car,,,l_km_consumption
Coupé,blue met.,,,,Zuzwil,,Volvo,,27900.0,kilometer,C70,C70 T5,false,car,,,l_km_consumption
Limousine,gold met.,,,,Zuzwil,,Daimler,,94800.0,kilometer,Xj,Six 4.0,false,car,,,
Kombi,anthrazit met.,,,,Zuzwil,,Audi,,32800.0,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,false,car,,,l_km_consumption
Coupé,green met.,,,,Zuzwil,,Mercedes-benz,,50200.0,kilometer,Cl 55 amg,CL 55 AMG,false,car,,,l_km_consumption
Coupé,black,,,,Zuzwil,,Audi,,29300.0,kilometer,Tt,TTS Cpé 2.0 TFSI quattro,false,car,,,l_km_consumption
SUV / Geländewagen,black met.,,,,Zuzwil,,Bmw,,32900.0,kilometer,X5,X5 4.6is,false,car,,,l_km_consumption
Limousine,silver met.,,,,Zuzwil,,Mercedes-benz,,56200.0,kilometer,S 65 amg,S 65 AMG L,false,car,,,l_km_consumption
Coupé,silver met.,,,,Zuzwil,,Porsche,,123000.0,kilometer,911,911 Carrera 2 RS,false,car,,,
Limousine,white met.,,,,Zuzwil,,Vw,,48300.0,kilometer,Phaeton,Phaeton 3.0 TDi V6 4M,false,car,,,l_km_consumption
Cabriolet,blue met.,,,,Zuzwil,,Mercedes-benz,,14500.0,kilometer,Sl 600,SL 600,false,car,,,l_km_consumption
Limousine,blue met.,,,,Zuzwil,,Subaru,,161500.0,kilometer,Impreza,Impreza 2.5T WRX,false,car,,,l_km_consumption
Coupé,gray met.,,,,Zuzwil,,Ferrari,,45000.0,kilometer,612,612,false,car,,,l_km_consumption
Cabriolet,green,,,,Zuzwil,,Bmw,,52900.0,kilometer,M3,M3,false,car,,,l_km_consumption
Coupé,black met.,,,,Zuzwil,,Renault,,90000.0,kilometer,Alpine a110,Modell 1400 FASA,false,car,,,
Limousine,black,,,,Zuzwil,,Bmw-alpina,,4950.0,kilometer,5 series,B5 BiTurbo 4.4 V8,false,car,,,l_km_consumption
