id,TypeName,TypeNameFull,ModelText,ModelTypeText,Properties,InteriorColorText,ConsumptionRatingText,Km,TransmissionTypeText,Seats,DriveTypeText,City,Ccm,FirstRegMonth,FirstRegYear,FuelTypeText,Co2EmissionText,Hp,Doors,BodyTypeText,ConditionTypeText,color,transmissionType,make,extracted-value-ConsumptionTotalText,extracted-unit-ConsumptionTotalText
827.0,SL 600,MERCEDES-BENZ SL 600,SL 600,SL 600,"\"Ab MFK\"",anthrazit,G,96400,Automat,2,Hinterradantrieb,Zuzwil,5513,3,2004,Benzin,346 g/km,500,2,,Cabriolet,black met.,automatic,Mercedes-benz,14.4,l/100km
1014.0,Coupé,ALFA ROMEO 8C Coupé,8C,8C Coupé,null,schwarz,null,37000,Automatik-Getriebe,0,Hinterradantrieb,Zuzwil,4691,3,2008,null,null,450,2,,Coupé,silver met.,null,Alfa romeo,null,
37.0,Murciélago 6.2 Roadster,LAMBORGHINI Murciélago 6.2 Roadster,MURCIÉLAGO,Murciélago 6.2 Roadster,"\"Ab MFK\"",rot,G,16200,Automatik-Getriebe,2,Allrad,Zuzwil,6192,1,2006,Benzin,500 g/km,580,2,,Cabriolet,anthrazit met.,null,Lamborghini,21.5,l/100km
481.0,XJR 4.0 V8 S/C,JAGUAR XJR 4.0 V8 S/C,XJ,XJR 4.0 V8 S/C,"\"Ab MFK\"",schwarz,G,95100,Automat,5,Hinterradantrieb,Zuzwil,3996,1,2001,Benzin,305 g/km,363,4,,Limousine,red,automatic,Jaguar,12.6,l/100km
519.0,S40 2.0 T,VOLVO S40 2.0 T,S40,S40 2.0 T,"\"Ab MFK\"",anthrazit,null,107000,Automat,5,Vorderradantrieb,Zuzwil,1948,5,1999,Benzin,236 g/km,160,4,,Limousine,black,automatic,Volvo,9.9,l/100km
739.0,Continental GTC 6.0,BENTLEY Continental GTC 6.0,CONTINENTAL,Continental GTC 6.0,"\"Ab MFK\"",schwarz,G,76200,Automat,4,Allrad,Zuzwil,5998,6,2009,Benzin,396 g/km,560,2,,Cabriolet,black met.,automatic,Bentley,16.6,l/100km
958.0,Murciélago LP670-4 SV Cpé,LAMBORGHINI Murciélago LP670-4 SV Cpé,MURCIÉLAGO,Murciélago LP670-4 SV Cpé,"\"Ab MFK\"",schwarz,G,20800,Automatisiertes Schaltgetriebe,2,Allrad,Zuzwil,6496,5,2010,Benzin,480 g/km,670,2,,Coupé,silver met.,automatic,Lamborghini,20.6,l/100km
1053.0,FJ 40,TOYOTA LAND CRUISER FJ 40,LAND CRUISER,LAND CRUISER FJ 40,"\"Ab MFK\"",grau,null,5000,Schaltgetriebe manuell,2,Allrad,Zuzwil,4228,2,1982,Benzin,null,135,3,,SUV / Geländewagen,silver met.,manual,Toyota,null,
1114.0,Alpine V6 Turbo,RENAULT Alpine V6 Turbo,ALPINE,Alpine V6 Turbo,"\"Ab MFK\"",grau,null,98600,Schaltgetriebe manuell,4,Hinterradantrieb,Zuzwil,2457,4,1988,Benzin,null,185,2,,Coupé,white,manual,Renault,null,
402.0,RS6 Avant 5.0 V10 quattro,AUDI RS6 Avant 5.0 V10 quattro,RS6,RS6 Avant 5.0 V10 quattro,"\"Ab MFK\"",grau,G,42500,Automat,5,Allrad,Zuzwil,4991,10,2008,Benzin,333 g/km,580,5,,Kombi,green met.,automatic,Audi,14.0,l/100km
546.0,530i Touring,BMW 530i Touring,530,530i Touring,"\"Ab MFK\"",null,null,120900,Automatik-Getriebe,5,Hinterradantrieb,Zuzwil,2979,5,2001,Benzin,238 g/km,231,5,,Kombi,black,null,Bmw,9.9,l/100km
556.0,SL 320,MERCEDES-BENZ SL 320,SL 320,SL 320,"\"Ab MFK\"",schwarz,null,70900,Automat,2,Hinterradantrieb,Zuzwil,3199,1,1999,Benzin,317 g/km,231,2,,Cabriolet,black,automatic,Mercedes-benz,13.4,l/100km
735.0,X5 4.6is,BMW X5 4.6is,X5,X5 4.6is,"\"Ab MFK\"",schwarz,G,21800,Automat sequentiell,5,Allrad,Zuzwil,4619,6,2003,Benzin,356 g/km,347,5,,SUV / Geländewagen,black met.,null,Bmw,14.9,l/100km
839.0,Daytona Plexiglas,FERRARI 365 Daytona Plexiglas,365,365 Daytona Plexiglas,null,schwarz,null,8000,null,2,null,Sursee,4390,9,1970,Benzin,null,352,2,,Coupé,silver,null,Ferrari,null,
1013.0,300SL Roadster,MERCEDES-BENZ 300SL Roadster,,300SL Roadster,null,braun,null,1000,null,2,null,Sursee,2995,3,1960,Benzin,null,215,2,,Cabriolet,silver met.,null,Mercedes-benz,null,
1137.0,Espace 2.0 T Privilège,RENAULT Espace 2.0 T Privilège,ESPACE,Espace 2.0 T Privilège,"\"Ab MFK\"",null,null,145000,Automatik-Getriebe,5,Vorderradantrieb,Zuzwil,1998,3,2004,Benzin,232 g/km,163,5,,Kompaktvan / Minivan,white,null,Renault,9.7,l/100km
146.0,Turbo,BMW 2002 Turbo,2002,2002 Turbo,"\"Ab MFK\"",schwarz,null,7990,Schaltgetriebe,4,Hinterradantrieb,Zuzwil,1990,1,1974,Benzin,null,180,2,,Limousine,blue met.,manual,Bmw,null,
183.0,B7 Turbo Coupé,BMW-ALPINA 7 SERIES B7 Turbo Coupé,7 SERIES,7 SERIES B7 Turbo Coupé,null,schwarz,null,150200,Schaltgetriebe,4,null,Zuzwil,2986,4,1984,Benzin,null,300,2,,Coupé,blue met.,manual,Bmw-alpina,null,
274.0,Celica 2800 i Supra,TOYOTA Celica 2800 i Supra,CELICA,Celica 2800 i Supra,"\"Ab MFK\"",grau,null,158000,Schaltgetriebe manuell,5,Hinterradantrieb,Zuzwil,2759,3,1983,Benzin,null,170,3,,Coupé,gray met.,manual,Toyota,null,
493.0,E 420 Avantgarde,MERCEDES-BENZ E 420 Avantgarde,E 420,E 420 Avantgarde,"\"Ab MFK\"",grau,null,132600,Automat,5,Hinterradantrieb,Zuzwil,4196,5,1996,Benzin,326 g/km,279,4,,Limousine,red,automatic,Mercedes-benz,14.3,l/100km
203.0,A8 4.2 quattro,AUDI A8 4.2 quattro,A8,A8 4.2 quattro,"\"Ab MFK\"",grau,G,60000,Automat sequentiell,5,Allrad,Zuzwil,4172,4,2004,Benzin,288 g/km,335,4,,Limousine,bordeaux met.,null,Audi,12.0,l/100km
